VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
1,1,118,1-4-15-1-16-10-24-11-9-1,8,15-17-13-10-15-11-17-20,53.525977,2.355897,29082.447389
2,1,94,1-8-5-18-2-12-20-1,6,20-20-12-15-12-15,36.644141,1.612858,19909.983102
3,1,96,1-13-22-17-6-14-1,5,21-18-25-17-15,35.641492,1.568728,19365.210432
4,1,69,1-23-3-19-7-21-1,5,15-12-11-17-14,36.291268,1.597327,19718.255874
