VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
V001,D001,5.0,D001-C005-D001,C005,5,10.201969,0.408079,5543.069966
V002,D001,96.0,D001-C003-C008-C007-C009-C002-C001-C004-C006-D001,C003-C008-C007-C009-C002-C001-C004-C006,15-10-12-15-15-12-6-11,52.540453,2.101618,28546.979213
