VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
V001,D001,128.0,D001-C012-C020-C014-C023-C015-C022-C013-C004-D001,C012-C020-C014-C023-C015-C022-C013-C004,12-15-15-15-17-18-21-15,52.211241,2.08845,28368.107509
V002,D001,140.0,D001-C017-C001-C011-C009-C016-C010-C024-C006-C018-D001,C017-C001-C011-C009-C016-C010-C024-C006-C018,25-13-17-20-10-15-11-17-12,64.364008,2.57456,34971.110896
V007,D001,109.0,D001-C003-C005-C008-C002-C021-C019-C007-D001,C003-C005-C008-C002-C021-C019-C007,12-20-20-15-14-11-17,60.620704,2.424828,32937.248946
